SPC,AGE,MASS,WSP,HID,SPD,FHO
Wyvern,112,24522,10.6,3.63,12720,786
Dragon,833,414849,29,2.29,63800,735
Dragon,484,298860,21.9,4.5,48180,1311
Dragon,305,106354,17.5,2.84,38500,1340
Dragon,2492,2214540,49.8,2.45,109560,2009
Hydra,15,1096,3.9,4.12,2340,391
Hydra,393,260751,19.8,4.48,11880,991
Wyvern,44,8512,6.6,1.02,7920,919
Wyvern,584,418736,24.2,4.87,29040,1043
Wyvern,583,186024,24.1,4.97,28920,1348
Wyvern,221,53617,14.8,1.89,17760,693
Hydra,335,109086,18.3,1.28,10980,1353
Hydra,138,28302,11.8,2.45,7080,656
Dragon,21,1578,4.6,3.47,10120,290
Wyvern,92,18620,9.6,2.86,11520,827
Hydra,1006,1072707,31.6,3.16,18960,1460
Hydra,89,19547,9.4,1.83,5640,237
Hydra,190,72346,13.8,2.66,8280,996
Wyvern,142,29411,11.9,4.41,14280,774
Wyvern,80,23639,9,3.3,10800,864
Dragon,2,49,1.4,3.69,3080,494
Dragon,1172,697701,34.2,4.66,75240,1197
Hydra,226,59460,15.1,2.57,9060,716
Dragon,176,48288,13.3,3.14,29260,840
Dragon,382,157135,19.6,1.21,43120,1042
Wyvern,122,20497,11.1,1.58,13320,977
Dragon,745,416397,27.3,1.13,60060,711
Hydra,178,54754,13.3,3.67,7980,422
Hydra,62,11943,7.9,1.85,4740,533
Wyvern,275,94319,16.7,1.52,20040,692
Dragon,904,388439,30.1,4.51,66220,1191
Wyvern,773,393483,27.8,2.84,33360,848
Dragon,1491,1108083,38.6,2.86,84920,1139
Hydra,499,287188,22.4,2.79,13440,728
Dragon,29,3125,5.4,1.02,11880,526
Dragon,197,58685,14,1.97,30800,779
Hydra,15,1213,3.9,3.31,2340,664
Hydra,45,8445,6.7,1.7,4020,623
Hydra,28,2140,5.3,4.8,3180,390
Hydra,65,12317,8.1,4.41,4860,766
Dragon,4475,5486433,67,1.51,147400,2288
Wyvern,166,49721,12.9,1.2,15480,562
Dragon,2401,2242932,49,1.62,107800,1460
Wyvern,468,231626,21.6,1.27,25920,1076
Wyvern,236,60199,15.4,3.88,18480,722
Dragon,44,5023,6.6,4.36,14520,1113
Wyvern,702,459645,26.5,1.66,31800,1013
Hydra,71,12398,8.4,3.06,5040,832
Hydra,534,220602,23.1,2.3,13860,1446
Hydra,234,64820,15.3,2.61,9180,1312
Wyvern,204,61286,14.2,3.98,17040,806
Dragon,1877,1573970,43.2,4.37,95040,1039
Hydra,64,6392,8,4.38,4800,856
Hydra,69,9528,8.3,4.12,4980,817
Hydra,283,114848,16.8,1.7,10080,929
Wyvern,64,9168,8,1.43,9600,741
Wyvern,140,34362,11.8,4.32,14160,389
Wyvern,504,280800,22.5,2.89,27000,1104
Hydra,3,151,1.7,4.88,1020,913
Hydra,112,21436,10.7,2.92,6420,920
Wyvern,118,23713,10.9,4.45,13080,753
Hydra,338,160521,18.4,2.25,11040,706
Hydra,63,9733,7.9,2.48,4740,691
Wyvernn,1229,745342,35,4.54,42000,1083
Hydra,48,8271,6.9,3.48,4140,816
Wyvern,113,14412,10.6,4.27,12720,476
Hydra,35,4606,5.9,2.89,3540,464
Hydra,145,36037,12,3.87,7200,961
Hydra,60,7628,7.8,1.29,4680,727
Hydra,247,69488,15.7,1.15,9420,666
Wyvern,50,7950,7.1,2.05,8520,584
Wyvern,71,15180,8.4,2.52,10080,558
Wyvern,3,158,1.7,3.25,2040,800
Dragon,131,18928,11.4,4.98,25080,637
Dragon,423,150175,20.6,1.91,45320,1123
Dragon,112,15167,10.6,2.74,23320,895
Wyvern,330,110547,18.2,1.44,21840,1178
Dragon,591,272999,24.3,3.13,53460,806
Wyvern,163,36391,12.7,4.33,15240,656
Dragon,160,48248,12.6,4.51,27720,1427
Hydra,392,164517,19.8,2.36,11880,470
Wyvern,1644,909311,40.5,2.35,48600,1368
Dragon,974,528023,31.3,4.69,68860,973
Wyvern,242,66582,15.6,4.38,18720,1222
Wyvern,760,519342,27.6,3.67,33120,1089
Dragon,110,20495,10.5,3.51,23100,790
Hydra,203,67377,14.3,2.59,8580,1261
Wyvern,29,4356,5.4,3,6480,1026
Dragon,564,336958,23.8,3.92,52360,1261
Hydra,250,111918,15.8,1.62,9480,858
Hydra,25,2456,5,2.26,3000,908
Hydra,140,30116,11.9,3.13,7140,700
Wyvern,1741,1662813,41.9,2.94,50280,1435
Hydra,13,888,3.6,1.42,2160,384
Dragon,555,314941,23.5,2.5,51700,1383
Wyvern,138,27240,11.7,2.35,14040,490
Wyvern,883,550560,29.8,1.61,35760,1028
Wyvern,10,547,3.2,3.68,3840,789
Wyvern,1595,988204,40,2.84,48000,1213
Dragon,1805,2253321,42.8,3.33,94160,1095
Hydra,2,60,1.4,3.63,840,374
Dragon,1812,1461738,42.5,2.82,93500,1176
Dragon,598,237152,24.4,4.42,53680,989
Wyvern,550,346927,23.4,1.87,28080,1418
Wyvern,1034,607692,32.2,4.98,38640,987
Hydra,11,783,3.3,4.42,1980,822
Dragon,740,346727,27.2,4.89,59840,841
Hydra,108,18585,10.4,4.11,6240,1064
Hydra,233,78588,15.2,1.37,9120,291
Wyvern,1162,616930,34.1,1.47,40920,926
Dragon,2587,2592325,50.8,2.5,111760,1738
Wyvern,409,188800,20.1,2.76,24120,903
Wyvern,266,64414,16.3,3.93,19560,618
Hydra,34,5143,5.8,1.44,3480,625
Wyvern,649,343430,25.4,1.55,30480,1105
Hydra,43,5195,6.6,4.61,3960,589
Hydra,6,464,2.5,2.55,1500,724
Hydra,232,83395,15.2,3.42,9120,875
Hydra,190,52937,13.8,2.62,8280,1066
Hydra,80,16429,8.9,4.77,5340,557
Hydra,121,25482,11,3.98,6600,946
Dragon,1019,718944,31.9,1.01,70180,1171
Hydra,852,616022,29.2,4.83,17520,1112
Wyvern,372,190598,19.2,4.41,23040,651
Hydra,350,88290,18.7,2.94,11220,554
Dragon,258,108697,16,3.78,35200,891
Hydra,87,18283,9.3,3.39,5580,899
Wyvern,1278,1041766,35.8,2.68,42960,1003
Dragon,508,214787,22.5,3.14,49500,988
Hydra,419,141974,20.5,1.14,12300,920
Wyvern,68,14045,8.3,1.32,9960,1055
Dragon,823,600900,28.6,4.07,62920,1111
Hydra,158,48425,12.6,1.54,7560,562
Hydra,19,1736,4.4,4.38,2640,344
Wyvern,180,41161,13.4,1.73,16080,931
Hydra,115,27001,10.7,1.13,6420,1001
Hydra,320,109626,17.8,4.11,10680,1137
Wyvern,614,425149,24.8,1.84,29760,1226
Hydra,482,198388,22,2.55,13200,667
Wyvern,599,315410,24.5,1.69,29400,1433
Hydra,137,30948,11.7,4.84,7020,496
Hydra,191,57600,13.8,2.71,8280,696
Wyvern,86,17257,9.3,1.38,11160,815
Wyvern,414,223626,20.4,4.77,24480,1125
Hydra,92,18788,9.6,1.72,5760,716
Dragon,425,143051,20.7,4.28,45540,851
Dragon,329,131425,18.2,4.77,40040,1104
Dragon,1057,841954,32.5,3.82,71500,1212
Dragon,2229,1734900,47.1,3.68,103620,1886
Hydra,294,134778,17.1,4.35,10260,921
Wyvern,743,403275,27.2,1.82,32640,1039
Hydra,462,232487,21.5,1.75,12900,1030
Hydra,130,26813,11.4,3.99,6840,1003
Hydra,20,1654,4.5,2.24,2700,672
Hydra,75,12216,8.7,1.05,5220,717
Hydra,248,80132,15.7,2.69,9420,696
Wyvern,107,21319,10.4,4.36,12480,702
Hydra,981,739281,31.4,2.12,18840,1269
Dragon,3014,3376797,54.9,3.38,120780,1732
Wyvern,269,108451,16.4,3.99,19680,879
Hydra,262,119112,16.2,4.21,9720,858
Wyvern,459,214703,21.5,2.14,25800,947
Hydra,165,53219,12.8,3.66,7680,767
Wyvern,-481,223733,21.9,1.4,26280,1276
Hydra,707,317745,26.5,4.66,15900,521
Wyvern,62,13001,7.9,1.82,9480,723
Hydra,404,201910,20.1,1.27,12060,447
Dragon,4,137,2,4.29,4400,483
Hydra,502,277489,22.4,4.78,13440,1029
Hydra,138,31346,11.8,4.25,7080,996
Hydra,124,27539,11.1,3.61,6660,1097
Hydra,271,105777,16.5,4.59,9900,837
Dragon,5,172,2.2,4.25,4840,496
Wyvern,895,765393,29.9,3.77,35880,1017
Wyvern,612,396083,24.8,3.02,29760,1007
Wyvern,694,533620,26.4,1.54,31680,1126
Hydra,47,7902,6.9,1.57,4140,717
Wyvern,707,313723,26.6,3.98,31920,991
Wyvern,123,22471,11.1,3.14,13320,359
Dragon,53,7190,7.3,3.4,16060,577
Hydra,466,176655,21.6,3.27,12960,989
Hydra,50,5245,7.1,4.26,4260,635
Dragon,968,701173,31.1,2.46,68420,1309
Wyvern,662,332760,25.8,4.24,30960,1212
Dragon,2329,2643542,48.3,1.27,106260,1400
Wyvern,605,291026,24.5,3.71,29400,1296
Hydra,247,81023,15.7,3.86,9420,624
Dragon,3345,3760660,57.8,3.95,127160,2358
Hydra,116,23885,10.8,1.48,6480,560
Wyvern,40,7490,6.3,1.08,7560,839
Wyvern,206,71140,14.4,1.07,17280,810
Wyvern,453,204688,21.2,3.32,25440,1145
Wyvern,195,92812,14,1.38,16800,853
Wyvern,396,140694,19.9,1.36,23880,996
Hydra,253,77497,15.9,1.6,9540,886
Wyvern,359,135210,19,3.31,22800,1336
Hydra,48,7209,6.9,3.08,4140,722
Wyvern,114,26710,10.7,4.84,12840,687
Hydra,184,55166,13.6,2.99,8160,909
Wyvern,1186,846941,34.4,3.49,41280,1492
Hydra,482,247864,22,3.66,13200,1249
Wyvern,12,670,3.5,4.18,4200,577
Hydra,18,1239,4.3,4.54,2580,584
Wyvern,439,155891,20.9,1.66,25080,648
Wyvern,1214,502147,34.9,4.95,41880,1391
Hydra,111,23473,10.5,3.71,6300,879
Dragon,25,3118,5,1.32,11000,718
Hydra,162,45684,12.7,4.76,7620,1157
Wyvern,1071,888389,32.8,3.32,39360,1354
Wyvern,211,55836,14.5,1.31,17400,359
Hydra,654,332283,25.5,4.08,15300,1302
Hydra,77,12129,8.8,1.51,5280,316
Hydra,644,282138,25.3,4.62,15180,624
Hydra,262,73475,16.2,2.7,9720,816
Wyvern,135,36488,11.7,2.3,14040,756
Hydra,51,6293,7.1,1.06,4260,451
Hydra,328,134525,18.1,3.94,10860,869
Wyvern,811,484144,28.4,2.28,34080,705
Hydra,881,473137,29.6,3.84,17760,1129
Hydra,30,3427,5.5,4.03,3300,334
Dragon,1383,1057702,37.2,3.4,81840,1035
Hydra,12,741,3.5,1.05,2100,734
Wyvern,58,10468,7.6,2.59,9120,819
Wyvern,361,81004,19,1.7,22800,1644
Wyvern,734,439030,27.1,2.62,32520,1338
Wyvern,191,53233,13.8,2.33,16560,352
Hydra,461,202632,21.4,3,12840,1299
Hydra,115,29516,10.7,1.88,6420,276
Wyvern,21,1851,4.6,4.95,5520,370
Dragon,54,7332,7.3,1.7,16060,819
Hydra,76,11799,8.7,4.41,5220,283
Wyvern,48,7931,6.9,4.88,8280,1086
Hydra,51,8803,7.1,1.92,4260,621
Hydra,12,758,3.5,1.58,2100,733
Hydra,181,51284,13.4,4.55,8040,200
Wyvern,385,232943,19.6,4.79,23520,1464
Dragon,1329,823298,36.5,3.68,80300,1510
Hydra,251,87269,15.8,3.48,9480,835
Hydra,111,26915,10.5,4.47,6300,738
Wyvern,56,7058,7.5,3.33,9000,644
Hydra,97,28579,9.8,1.55,5880,518
Wyvern,222,73593,14.9,2.85,17880,890
Hydra,119,32142,10.9,1.15,6540,911
Wyvern,131,33785,11.4,2.9,13680,374
Dragon,1497,1208358,38.6,4.99,84920,1592
Hydra,85,15703,9.2,2.89,5520,777
Wyvern,86,16153,9.3,4.32,11160,499
Wyvern,221,68419,14.8,2.74,17760,1231
Hydra,132,34249,11.5,1.85,6900,894
Wyvern,93,14608,9.6,4.21,11520,211
Wyvern,730,313032,27,1.84,32400,1070
Hydra,1,17,1,1.56,600,351
Dragon,480,218775,21.9,2.28,48180,578
Hydra,300,103292,17.3,3.36,10380,946
Hydra,60,9344,7.7,4.35,4620,799
Dragon,653,318837,25.5,3.31,56100,930
Hydra,169,38508,13,2.64,7800,1129
Wyvern,52,6974,7.2,2.16,8640,257
Hydra,169,33723,13,1.15,7800,1046
Wyvern,595,263437,24.4,3.41,29280,1099
Wyvern,581,271704,24.1,4.41,28920,1413
Hydra,60,9407,7.7,3.6,4620,604
Dragon,660,385976,25.7,3.44,56540,933
Hydra,3,92,1.7,3.52,1020,100
Hydra,211,133005,14.6,3.94,8760,1249
Wyvern,351,156631,18.7,1.99,22440,854
Dragon,1536,1086636,39.2,2.24,86240,1304
Wyvern,349,123760,18.7,1.71,22440,922
Wyvern,613,266416,24.7,1.22,29640,918
Wyvern,559,241079,23.6,4.6,28320,1286
Wyvern,31,3260,5.6,3,6720,883
Hydra,395,188808,19.9,1.08,11940,1011
Hydra,230,63440,15.2,3.61,9120,772
Wyvern,146,29459,12.1,4.04,14520,847
Hydra,196,45612,14,3.79,8400,1130
Wyvern,464,229290,21.5,1.67,25800,725
Hydra,81,15828,9,4.85,5400,233
Hydra,222,43947,14.9,3.86,8940,794
Hydra,114,23542,10.7,2.65,6420,510
Hydra,380,153528,19.5,3.82,11700,772
Hydra,265,71441,16.2,1.87,9720,430
Wyvern,326,124996,18.1,3.8,21720,815
Dragon,1370,1062117,36.9,1.81,81180,1162
Hydra,33,3351,5.7,3.68,3420,122
Hydra,83,16100,9.1,2.61,5460,684
Hydra,796,415706,28.3,1.22,16980,837
Hydra,371,114406,19.3,2.95,11580,1200
Hydra,297,130885,17.2,3.83,10320,969
Hydra,144,38596,12,2.94,7200,274
Hydra,375,149372,19.3,4.1,11580,739
Wyvern,991,677440,31.5,1.74,37800,1143
Dragon,5263,9729833,72.8,4.42,160160,2019
Hydra,75,17311,8.7,1.45,5220,269
Hydra,89,15319,9.4,3.23,5640,390
Wyvern,632,268663,25.1,3.36,30120,1115
Wyvern,13,697,3.6,1.76,4320,917
Wyvern,229,93529,15.1,1.14,18120,1176
Hydra,124,32630,11.1,4.55,6660,474
Wyvern,234,67935,15.3,2.67,18360,624
Hydra,558,292882,23.7,3.53,14220,1427
Wyvern,123,26063,11.1,3.21,13320,1079
Dragon,1630,1304816,40.3,2.15,88660,1504
Wyvern,111,18301,10.5,3.68,12600,817
Hydra,906,492068,30,4.21,18000,1440
Wyvern,384,141800,19.6,2.86,23520,690
Wyvern,305,130197,17.5,1.53,21000,1038
Hydra,94,10195,9.7,1.01,5820,618
Dragon,651,361748,25.6,4.78,56320,1307
Dragon,374,265881,19.3,4.5,42460,1500
Dragon,958,582736,31,3.76,68200,1639
Hydra,99,21810,10,4.92,6000,760
Wyvern,1154,775159,34,3.95,40800,527
Wyvern,468,218701,21.6,4.13,25920,865
Wyvern,567,283712,23.8,4.07,28560,874
Wyvern,620,280574,24.9,3.07,29880,1415
Wyvern,80,17113,8.9,2.19,10680,445
Hydra,211,40535,14.5,1.42,8700,356
Wyvern,170,45875,13,1.83,15600,1037
Hydra,551,228852,23.4,1.23,14040,1082
Hydra,82,10803,9,2.15,5400,777
Hydra,10,555,3.2,1.96,1920,297
Wyvern,238,71816,15.5,1.08,18600,892
Wyvern,448,211409,21.1,2.82,25320,692
Hydra,272,77011,16.5,2.7,9900,725
Hydra,114,34552,10.7,2.23,6420,632
Hydra,422,188864,20.6,2.9,12360,857
Wyvern,681,353442,26.1,2.65,31320,1020
Hydra,618,252332,24.8,4.41,14880,924
Wyvern,264,87763,16.3,4.31,19560,886
Dragon,1184,780764,34.2,1.63,75240,1591
Dragon,507,252974,22.5,2.38,49500,1184
Dragon,3246,4816737,56.9,3.02,125180,1782
Dragon,1454,1026686,38.2,4.19,84040,1200
Hydra,284,98360,16.8,4.44,10080,858
Wyvern,266,62102,16.3,1.54,19560,1249
